imei,first_sent_date,last_sent_date,send_count_total,send_count_ok,send_count_err,last_status,last_http_code,last_txid,last_command,last_days_disconnected,vin_last,empresa_last,patente_last,iccid_last,delivery_status,delivery_note,delivery_checked_at_utc
869671072166539,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310009444_1770220568155_0.48779144123380447,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",21.0,W1T964231T0827992,100% EQUIPADOS,0827992,8.99993120031001e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671072172107,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310001236_1770220569080_0.5945308101108122,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",29.0,JL6BGG6A4TK000564,100% EQUIPADOS,TK000564,8.999931200310002e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070587082,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310007461_1770220570427_0.4154652685068254,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",30.0,W1T964231S0792371,100% EQUIPADOS,0792371,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457051061610,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310588268_1770220571838_0.8581999422811413,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",29.0,LSH14C4C2MA069528,INVERSIONES MORA OVALLE SPA,RLJC29,8.999920200310588e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162027842145,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",20.0,3AKJHPDV8NSNG4442,TRANSPORTES SAE (CM),RSPF11,,,,
863457050602984,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",29.0,W1T964231P0592884,TREKRENTAL,SHVR87,,,,
868589060187237,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310005974_1770220574763_0.6765664647367478,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",27.0,JL6CJH6A5RK004031,STOCK,004031,8.999931200310006e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162029776820,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",19.0,W1T964026N0498527,MARCO SALGADO (CM),PXST41,,,,
863457050969045,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",15.0,3AKJHPDV9PSNM9035,TRANSPORTES VERASAY SPA,NM9035,,,,
868589060186031,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310005429_1770220577752_0.651838023190533,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,9BM951104RB345986,GRUPO TRANSPORTES LIRA,345986,8.999931200310006e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070584261,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310007463_1770220579094_0.4577078857301984,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",15.0,JL6CLH6A1SK006942,100% EQUIPADOS,K006942,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457051066163,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310998269_1770220580024_0.8883029756852938,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",29.0,LVCB4L4DXPM002691,GERENCIA ELECTROMOVILIDAD,002691,8.999920200310998e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
865413056249864,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310007945_1770220580927_0.7123593448692658,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",19.0,3ALHG3DV6MDMU3258,PESCO RENTAL,PRFR89,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671072171315,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008276_1770220582247_0.9004405966963516,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,9BM958260SB402580,100% EQUIPADOS,B402580,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457051677613,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310594991_1770220584506_0.9696691538920497,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",19.0,W1T964231R0675407,GRUPO MPM,TBYZ95,8.999920200310595e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457051713244,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310594063_1770220585852_0.8098921921614144,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",15.0,MEC0574P0PP056547,DIVEMOTOR COLOMBIA,LLR105,8.999920200310595e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070576127,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310006628_1770220587246_0.5533788027310451,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,9BM979078JB061368,PESCO RENTAL,JWZZ11,8.999931200310007e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162029127990,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",18.0,W1T963425M0432586,GRUPO COTAL (CM),PDCB82,,,,
867162029775178,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",21.0,JL6CKE6A4KK001705,DE BAJA,PPYY-11,,,,
867162027187467,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",23.0,WDB932315K0289088,SACYR (CM),LHSX11,,,,
868589060176917,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310005861_1770220591784_0.6681027382647418,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,W1V907645SP710259,STOCK,710259,8.999931200310006e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070575202,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008739_1770220593601_0.4787729759087651,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",28.0,JL6AKE6A5SK005737,100% EQUIPADOS,SK005737,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863238070319779,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008343_1770220594989_0.8179334596362082,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",19.0,9BM958260SB400127,100% EQUIPADOS,B400127,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162027843960,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",21.0,W1T964231N0545566,TREKRENTAL,RWWR-54,,,,
865413056248759,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310007971_1770220597413_0.5261216086097273,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",22.0,JL6AFC6A5SK001387,STOCK,K001387,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457050622388,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999911240071437574_1770220598775_0.6460600289025678,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",28.0,W1T964231P0639768,GRUPO MPM,SSYV32,8.999911240071437e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070597610,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008846_1770220600629_0.7878383316488151,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",17.0,3AKJHPDV0PSUD5422,TRANSPORTES SAN GABRIEL LTDA,TTBS35,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
868589060354985,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310004129_1770220602435_0.42077116371083556,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",16.0,W1T964231S0776983,TREKRENTAL,0776983,8.999931200310004e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457050615077,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",22.0,LSH14C4CXNA066894,SALFA,066894,,,,
863238070322310,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008291_1770220606176_0.29387333539089044,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",27.0,JL6CJH6A7TK000506,100% EQUIPADOS,TK000506,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457050635307,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310004080_1770220608046_0.10716534086460539,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",27.0,9BM634074RB336413,DIVEMOTOR PERU,CPE-640,8.999931200310004e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162027190925,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",30.0,JL6CLH6A1LK000804,DE BAJA,LLKF-97,,,,
867162027833722,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",22.0,9BM979078NB245417,PILLADO Y CÍA. LTDA.,RSCY85,,,,
863238070319720,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008322_1770220610993_0.9296712923490744,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",17.0,W1T963425M0432584,GRUPO COTAL (CM),PDCB84,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457052209952,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310993659_1770220612346_0.002690870824689995,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",23.0,W1T964231R0721999,GRUPO MPM,TGGG37,8.999920200310994e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070588726,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310007237_1770220614183_0.7069936594586483,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,JL6BHG6A7SK000263,100% EQUIPADOS,K000263,8.999931200310007e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162025950742,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",16.0,WDB964414K0296645,COMPAÑÍA MINERA SANTA LAURA,KXZS12,,,,
869671070584022,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310009517_1770220616599_0.12365785727544609,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",28.0,LSH14C4C4NA067863,GERENCIA ELECTROMOVILIDAD,A067863,8.99993120031001e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070576457,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008929_1770220617468_0.5514673436747837,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",16.0,W1T964233S0780849,100% EQUIPADOS,0780849,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457051069951,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999911240071441028_1770220618816_0.23212934864583668,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",18.0,LSF1C2309ND700594,ENEL X CHILE SPA,SXBB97,8.999911240071441e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
868589060683714,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999925200420526302_1770220620616_0.9774877440756695,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",27.0,W1T964216T0836870,STOCK,0836870,8.999925200420526e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
868589060356816,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310006999_1770220622467_0.09429185757441672,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",21.0,LSFAM11A1SA052006,SI AUSTRAL LTDA.,VCPX89,8.999931200310007e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457050612934,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",30.0,LSH14C4CXMA069504,INVERSIONES MORA OVALLE SPA,RLJC30,,,,
863457051694212,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310993433_1770220624845_0.3978913185320818,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",28.0,W1T964231R0683201,GRUPO MPM,TFCT92,8.999920200310994e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070585748,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008604_1770220626640_0.7131190187738976,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",29.0,JL6BHG6A7SK000344,STOCK,K000344,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671072171083,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310009813_1770220627998_0.44819564286055535,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",17.0,W1T964231T0833936,VILICIC,0833936,8.99993120031001e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162027886621,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",27.0,W1T963424N0548854,MARCO SALGADO (CM),RRKD26,,,,
868589060363473,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310005853_1770220630871_0.048226589946305465,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",27.0,9BM634074RB339769,STOCK CHILE - BUSES & VANS,339769,8.999931200310006e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070576218,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310004949_1770220631776_0.05785250152702326,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,JL6AFE6A0SK005715,100% EQUIPADOS,K005715,8.999931200310005e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
867162025945650,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",16.0,WDB964414J0191232,COMPAÑÍA MINERA SANTA LAURA,KHSP73,,,,
863457052205166,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310993740_1770220634640_0.050106278487871414,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",28.0,W1T964231R0716618,GRUPO MPM,TGCD33,8.999920200310994e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
868589060243154,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310004476_1770220636504_0.40276360132206435,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",19.0,WDB964231L0396125,GRUPO COMISOL,PJLH32,8.999931200310005e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863238070327194,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310006899_1770220638749_0.1293142242261145,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",15.0,W1T964016T0823292,100% EQUIPADOS,0823292,8.999931200310007e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
863457051712881,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310594586_1770220640062_0.20871592363164782,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,LSKG57C15PA821090,FLOTA HUALPEN LIMITADA,821090,8.999920200310595e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671072170739,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008218_1770220641416_0.6882018791138096,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",21.0,9BM958260SB400438,100% EQUIPADOS,B400438,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070574965,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310004898_1770220642337_0.3031885739709528,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",20.0,9BM958154SB371238,100% EQUIPADOS,B371238,8.999931200310005e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
868589060666768,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310009164_1770220644131_0.19240812374783367,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",22.0,JL6JBB6A7PK008202,STOCK,SSYP37,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
869671070591373,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310008159_1770220645978_0.7132630763510113,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",25.0,W1T963424S0798309,TRANSPORTES SIMUNOVIC LTDA,0798309,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T12:34:58.000Z
